2022-03-19 11:12:54,609 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:55,062 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:55,062 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:55,515 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:55,515 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:55,875 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:55,875 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:56,203 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:56,219 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:56,563 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:56,563 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:56,907 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:56,922 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:57,264 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:57,264 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:57,607 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:12:57,607 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:12:57,952 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:13:16,915 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:13:19,167 | DEBUG | handlers.py:71 (start) | ipakeev (541400993): /start
2022-03-19 11:13:23,191 | DEBUG | handlers.py:71 (start) | ipakeev (541400993): /start
2022-03-19 11:13:27,218 | DEBUG | handlers.py:71 (start) | ipakeev (541400993): /start
2022-03-19 11:13:33,660 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:38:48,141 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:38:48,579 | INFO | app.py:24 (disconnect) | disconnecting from the app
